timestamp,building,staff,inperson,remote,other,total
2020-09-17,Austin Elementary,0,0.0,0.0,0,0
2020-09-17,Canyon Ranch Elementary,0,0.0,0.0,0,0
2020-09-17,Cottonwood Creek Elementary,0,0.0,0.0,0,0
2020-09-17,Denton Creek Elementary,0,1.0,0.0,0,1
2020-09-17,Lakeside Elementary,0,0.0,0.0,0,0
2020-09-17,Richard J. Lee Elementary,0,0.0,0.0,0,0
2020-09-17,Mockingbird Elementary,0,0.0,0.0,0,0
2020-09-17,Pinkerton Elementary,0,0.0,0.0,0,0
2020-09-17,Town Center Elementary,0,0.0,0.0,0,0
2020-09-17,Valley Ranch Elementary,0,0.0,0.0,0,0
2020-09-17,Wilson Elementary,0,0.0,0.0,0,0
2020-09-17,Coppell Middle School East,0,0.0,0.0,0,0
2020-09-17,Coppell Middle School North,0,1.0,0.0,0,1
2020-09-17,Coppell Middle School West,0,0.0,0.0,0,0
2020-09-17,Coppell High School,1,4.0,0.0,0,5
2020-09-17,CHS9,0,0.0,0.0,0,0
2020-09-17,New Tech High @ Coppell,0,0.0,0.0,0,0
2020-09-17,Victory Place @ Coppell,0,0.0,0.0,0,0
2020-09-17,Vonita White Admin Building,0,,,0,0
2020-09-17,Brock Center,0,,,0,0
2020-09-17,Service Center,0,,,0,0
2020-09-17,Total,1,6,0,0,7
